INTERPOLATION:INTERPOLATED
0, 68, 1, 84, 255, 0.000
50, 72, 22, 104, 255, 0.005
100, 72, 40, 120, 255, 0.010
150, 68, 57, 131, 255, 0.015
200, 62, 74, 137, 255, 0.020
250, 55, 90, 140, 255, 0.025
300, 49, 104, 142, 255, 0.030
350, 43, 117, 142, 255, 0.035
400, 38, 130, 142, 255, 0.040
450, 33, 145, 140, 255, 0.045
500, 31, 158, 137, 255, 0.050
550, 37, 171, 130, 255, 0.055
600, 53, 183, 121, 255, 0.060
650, 78, 195, 107, 255, 0.065
700, 108, 205, 90, 255, 0.070
750, 142, 214, 69, 255, 0.075
800, 181, 222, 43, 255, 0.080
850, 218, 227, 25, 255, 0.085
900, 253, 231, 37, 255, 0.090
